Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
119,Micro,Services,7,42.25,9.75,0.1625,0,23.4,0.325,0.8125,0,7.8,1267.5,16.46103896,11,Moderate,Very Low,6.5,12 kW
2,Micro,Retail,7,44.525,2.4375,0.1625,39,0,0.4875,1.625,0,0.8125,1335.75,21.20238095,9,Moderate,Very Low,6.85,13 kW
13,Small,Retail,6,45.225,43.2,0,0,1.125,0.675,0.225,0,0,1162.928571,21.53571429,9,Moderate,Very Low,5.025,13 kW
32,Micro,Retail,7,70.35,3.6,2.625,0,3,39,0.525,0,21.6,2110.5,33.5,9,High,Very Low,17.9,20 kW
73,Micro,Retail,7,70.35,3.6,2.625,0,3,39,0.525,0,21.6,2110.5,33.5,9,High,Very Low,17.9,20 kW
96,Micro,Retail,7,70.35,3.6,2.625,0,3,39,0.525,0,21.6,2110.5,33.5,9,High,Very Low,17.9,20 kW
72,Small,Services,7,73.5875,4.875,7.875,0,4.0625,24.375,0,0,32.4,2207.625,35.04166667,9,High,Very Low,10.975,21 kW
40,Micro,Retail,7,78.525,9.45,2.25,0,0,3.375,20.25,0,43.2,2355.75,25.88736264,13,Moderate,Very Low,8.725,23 kW
67,Micro,Retail,7,78.525,9.45,2.25,0,0,3.375,20.25,0,43.2,2355.75,25.88736264,13,Moderate,Very Low,8.725,23 kW
68,Micro,Retail,7,78.525,9.45,2.25,0,0,3.375,20.25,0,43.2,2355.75,25.88736264,13,Moderate,Very Low,8.725,23 kW
38,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,53.97704082,7,Highest,Very Low,13.45,25 kW
108,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,41.98214286,9,High,Very Low,13.45,25 kW
122,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,53.97704082,7,Highest,Very Low,13.45,25 kW
